model,MAE,MSE,R2,MAPE,RMSE
CNN_LSTM,0.048750981385611326,0.004090411626401282,0.5836653014250629,4.875098138561133,0.06395632592950662
Dilated_CNN,0.049958870243259096,0.003909755859620768,0.6019482221660721,4.99588702432591,0.0625280405867701
convLSTM,0.04531111971666854,0.003479410123679257,0.6458892041464734,4.531111971666854,0.05898652493306635
weekend_forecast_Dilated_CNN,0.04454638142370688,0.002904481049248473,0.2610481704724161,4.454638142370689,0.053893237509435934
weekend_forecast_CNN_LSTM,0.0404860153052323,0.0025863804688780897,0.34103915273866714,4.0486015305232295,0.05085646929229447
weekend_forecast_conv_LSTM,0.03876430992849963,0.002416318735808225,0.38511801342339896,3.8764309928499614,0.04915606509687513
weekend_forecast_WaveNet,0.04700086661813066,0.003142674267265985,0.2010000670808002,4.700086661813066,0.056059559998861794
WaveNet,0.03862249943146562,0.002722474813156813,0.7228238871009923,3.862249943146562,0.052177340035275965
weekday_forecast_Dilated_CNN,0.05720928761007136,0.005262329842556293,0.6333756339689958,5.720928761007137,0.07254191783070181
weekday_forecast_CNN_LSTM,0.03989720713927733,0.002807399806740753,0.8042991457356191,3.9897207139277326,0.052984901686619686
weekday_forecast_conv_LSTM,0.039710097243744386,0.0027796634916835753,0.8063536473042777,3.971009724374439,0.0527225140872813
weekday_forecast_WaveNet,0.04650779382174269,0.0036491214431759516,0.7455874365111572,4.650779382174269,0.06040795844237704
